epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,482.2,1.07002,0.56176,1.07103,0.687,0.70543,0.71937,0.49304,1.09573,0.60885,1.06326,0.002,0.002,0.002
2,946.215,1.0635,0.55627,1.06768,0.68913,0.70254,0.70948,0.48638,1.09738,0.61065,1.06485,0.00194,0.00194,0.00194
3,1409.83,1.05384,0.54784,1.06239,0.7004,0.69752,0.71436,0.49081,1.09941,0.61442,1.06395,0.00188,0.00188,0.00188
4,1874.49,1.04801,0.54042,1.05822,0.72419,0.70871,0.74502,0.51369,1.09081,0.60359,1.05891,0.00182,0.00182,0.00182
5,2338.33,1.04327,0.53502,1.05695,0.7151,0.70564,0.72621,0.50236,1.08403,0.6062,1.05597,0.00176,0.00176,0.00176
6,2801.57,1.03465,0.52782,1.05034,0.71957,0.68896,0.71585,0.49365,1.10755,0.62012,1.0725,0.0017,0.0017,0.0017
7,3264.41,1.03221,0.52517,1.04933,0.70885,0.72053,0.72677,0.50762,1.07508,0.59599,1.04993,0.00164,0.00164,0.00164
8,3725.84,1.02582,0.5182,1.04673,0.72066,0.72729,0.7475,0.52212,1.08252,0.58732,1.05411,0.00158,0.00158,0.00158
9,468.116,1.00843,0.50427,1.0386,0.73154,0.71447,0.74485,0.5176,1.07708,0.59107,1.05178,0.00152,0.00152,0.00152
10,929.953,1.00149,0.49825,1.03657,0.72791,0.71523,0.74274,0.52036,1.07839,0.59484,1.05388,0.00146,0.00146,0.00146
11,1393.43,0.99573,0.4928,1.03393,0.74542,0.71498,0.74967,0.52498,1.07705,0.58855,1.05242,0.0014,0.0014,0.0014
12,1856.19,0.99062,0.48754,1.03065,0.71751,0.7275,0.74542,0.52215,1.08421,0.59711,1.05467,0.00134,0.00134,0.00134
13,2318.93,0.9865,0.48415,1.03019,0.75084,0.72074,0.75421,0.53202,1.07043,0.58098,1.04918,0.00128,0.00128,0.00128
14,2781.29,0.98018,0.48014,1.02499,0.73582,0.73573,0.75865,0.53477,1.07244,0.58141,1.049,0.00122,0.00122,0.00122
15,3245.66,0.97717,0.47673,1.0239,0.73241,0.73001,0.74895,0.5263,1.07292,0.58177,1.05024,0.00116,0.00116,0.00116
16,3710,0.97441,0.47269,1.02307,0.73307,0.73408,0.74716,0.52552,1.07604,0.58514,1.05101,0.0011,0.0011,0.0011
17,4174.89,0.98849,0.48216,1.03171,0.74729,0.72462,0.75239,0.53106,1.07015,0.58376,1.04787,0.00104,0.00104,0.00104
18,4638.4,0.98284,0.4771,1.02666,0.73764,0.73418,0.75292,0.53152,1.06993,0.58033,1.04832,0.00098,0.00098,0.00098
19,5100.37,0.98,0.4744,1.02566,0.75215,0.72716,0.75639,0.53378,1.06769,0.5789,1.0475,0.00092,0.00092,0.00092
20,5562.06,0.9735,0.47043,1.02374,0.74501,0.73338,0.76238,0.54053,1.06601,0.58025,1.04694,0.00086,0.00086,0.00086
21,6025.13,0.96872,0.46593,1.02064,0.74066,0.74229,0.75747,0.5348,1.06473,0.57996,1.04601,0.0008,0.0008,0.0008
22,6486.91,0.96365,0.46159,1.02055,0.74769,0.73937,0.75891,0.53779,1.0636,0.57955,1.04545,0.00074,0.00074,0.00074
23,6947.38,0.96222,0.45983,1.01576,0.75496,0.73737,0.76852,0.54394,1.06486,0.57623,1.04622,0.00068,0.00068,0.00068
24,7407.89,0.95858,0.45683,1.01447,0.75794,0.74005,0.76522,0.54251,1.06879,0.57881,1.04791,0.00062,0.00062,0.00062
25,7870.12,0.95427,0.45302,1.01378,0.75474,0.73736,0.76284,0.54017,1.06441,0.57721,1.04643,0.00056,0.00056,0.00056
26,8330.59,0.95005,0.44932,1.01271,0.74916,0.74579,0.76698,0.54271,1.06576,0.57455,1.04676,0.0005,0.0005,0.0005
27,8790.57,0.9467,0.4468,1.00994,0.75287,0.74343,0.76219,0.53929,1.06584,0.57415,1.04718,0.00044,0.00044,0.00044
28,9249.96,0.94099,0.4422,1.00866,0.74875,0.7451,0.7616,0.53849,1.06543,0.57603,1.04715,0.00038,0.00038,0.00038
29,9710.26,0.93907,0.4412,1.00817,0.76637,0.73049,0.76425,0.54176,1.06389,0.57425,1.04677,0.00032,0.00032,0.00032
30,10170.2,0.93616,0.43815,1.00654,0.75794,0.73905,0.76504,0.54302,1.0646,0.57704,1.04701,0.00026,0.00026,0.00026
